Response ID,dob,gender,job_duration,industry,current_occupation,total_employees,household,Metro or Regional,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Connectivity ,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,q11,q12,q13,q14,q15,q16,q17,q18,Class
663,1968,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with no dependent children,Regional,1,7,6,0.5,8,2,7.5,6,No,Not a barrier for me,Somewhat worsened,Significantly improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat worsened,Significantly worsened,Somewhat worsened,Not a barrier for me,Somewhat worsened,Stayed about the same,Not a barrier for me,Not a barrier for me,Somewhat improved,Somewhat worsened,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,same productivity
664,1961,Female,Between 1 and 5 years,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,Other one family household,Metro,2,4,7,0,8,3,6,7,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Somewhat agree,Neither agree nor disagree,No,more productivity
665,1961,Male,More than 5 years,Wholesale Trade,Managers - Specialist Managers,Between 20 and 199,Couple with no dependent children,Metro,0,6,8,0,10,0,6,8,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat disagree,Somewhat disagree,Strongly agree,No,same productivity
666,1958,Male,More than 5 years,Other Services,Professionals - Health Professionals,More than 200,Couple with no dependent children,Metro,1,4,8,0,10,2,4,8,No,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat agree,Strongly agree,Somewhat agree,No,same productivity
667,2000,Female,Between 1 and 5 years,Health Care and Social Assistance,Clerical and administrative workers - Other Clerical and Administrative Workers,Between 1 and 4,One parent family with dependent children,Regional,5,2,7,0.5,8,4.5,4,7,No,Significantly worsened,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Not a barrier for me,Not a barrier for me,Somewhat worsened,Significantly worsened,Significantly worsened,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,more productivity
668,1992,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Technicians and trades workers - Engineering, ICT and Science Technicians",More than 200,Couple with no dependent children,Metro,2,4,7,1,10,3,2,8,Yes,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Strongly agree,Strongly agree,Somewhat agree,No,more productivity
669,1990,Male,More than 5 years,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Other one family household,Metro,1.5,2.5,7,0.5,9.5,1.5,6,6.5,No,Not a barrier for me,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat agree,Strongly agree,Strongly agree,No,more productivity
670,1974,Male,Between 6 and 12 months,"Agriculture, Forestry and Fishing",Managers - Farmers and Farm Managers,More than 200,One parent family with dependent children,Metro,3,2,8,3,6,3,2,10,No,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat disagree,Somewhat disagree,Somewhat agree,Yes,less productivity
671,1968,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with no dependent children,Metro,,3,8,0.5,11,0.5,4,8,No,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Not a barrier for me,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Yes,more productivity
672,1983,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",Between 20 and 199,Single person,Metro,3,3,7,0,10,3,3,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat agree,Strongly agree,Somewhat agree,No,more productivity
673,1984,Male,Between 1 and 5 years,Other Services,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Single person,Metro,3,6,6,0.5,9,2.5,6,6,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,more productivity
674,1961,Male,Between 1 and 5 years,"Electricity, Gas, Water and Waste","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Couple with dependent children,Metro,2,4,8,0,9,2,5,8,No,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,same productivity
675,1958,Male,Between 1 and 5 years,Education and Training,Professionals - Education Professionals,More than 200,Couple with no dependent children,Metro,8,1,5,0,10,8,1,5,Yes,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Significantly improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Not a barrier for me,Not a barrier for me,Significantly improved,Strongly agree,Strongly agree,Neither agree nor disagree,No,more productivity
676,1971,Male,More than 5 years,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with no dependent children,Metro,0,7,8,0,4,4,8,8,No,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly disagree,Strongly disagree,Strongly agree,Yes,less productivity
677,1969,Male,Between 1 and 5 years,Other Services,Professionals - Arts and Media Professionals,Between 1 and 4,Couple with no dependent children,Metro,3,5,8,1,7,2,6,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Not a barrier for me,Somewhat worsened,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,more productivity
678,1986,Male,Between 1 and 5 years,Wholesale Trade,Sales workers - Sales Representatives and Agents,Between 20 and 199,Single person,Metro,2,5,8,0,10,2,4,8,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,No,same productivity
679,1986,Female,Between 1 and 5 years,Arts and Recreation,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Metro,1,3,10,0,8,2,4,10,Yes,Somewhat improved,Significantly improved,Significantly improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly improved,Somewhat improved,Somewhat improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,same productivity
680,1964,Female,Between 1 and 5 years,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,More than 200,Multiple family household,Regional,,8,8,,8,,8,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,same productivity
681,1979,Female,Between 1 and 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,One parent family with dependent children,Metro,2,2,6,6,9,1,2,6,Yes,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat worsened,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Significantly worsened,Somewhat improved,Somewhat disagree,Somewhat disagree,Strongly agree,Yes,less productivity
682,1992,Female,Between 1 and 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with no dependent children,Metro,2,3,8,0.5,9,2,4.5,8,No,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat disagree,Somewhat disagree,Somewhat agree,No,less productivity
683,1990,Male,More than 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Couple with no dependent children,Metro,0,6,8,0.5,8,0,7,8.5,No,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,same productivity
684,1989,Female,More than 5 years,Arts and Recreation,Professionals - Arts and Media Professionals,More than 200,Couple with no dependent children,Metro,2,5,7,0.5,8,2.5,6,7,No,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Not a barrier for me,Somewhat worsened,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,No,more productivity
685,1963,Female,More than 5 years,Financial and Insurance,Sales workers - Sales Support Workers,More than 200,Single person,Metro,3,3,7,0,8,4,4,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,same productivity
686,1986,Male,Between 1 and 5 years,Education and Training,Managers - Specialist Managers,More than 200,Couple with no dependent children,Regional,2,2,8,0,8,2,6,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly agree,Strongly agree,Strongly disagree,Yes,same productivity
687,1961,Male,Between 1 and 5 years,Other Services,Professionals - Education Professionals,I am a sole trader/owner-operator,Couple with no dependent children,Regional,0,7.5,8,0,10,2,4,8,No,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes,more productivity
688,1966,Male,More than 5 years,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with no dependent children,Metro,3,3,8,0,9,4,4,7,No,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Significantly improved,Somewhat improved,Somewhat agree,Strongly agree,Neither agree nor disagree,Yes,more productivity
689,1998,Male,More than 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,Couple with no dependent children,Regional,1,6,8,2,8,6,2,6,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly worsened,Somewhat worsened,Not a barrier for me,Significantly worsened,Somewhat worsened,Not a barrier for me,Somewhat worsened,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Strongly agree,Somewhat agree,Yes,more productivity
690,1966,Female,Between 1 and 5 years,Health Care and Social Assistance,Managers - Specialist Managers,More than 200,Couple with no dependent children,Metro,2,4,8,0,8,2,6,8,Yes,Not a barrier for me,Significantly improved,Stayed about the same,Significantly improved,Not a barrier for me,Significantly worsened,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Significantly improved,Not a barrier for me,Significantly improved,Not a barrier for me,Significantly improved,Strongly agree,Strongly agree,Somewhat agree,Yes,same productivity
691,1995,Female,Between 1 and 5 years,Manufacturing,Managers - Specialist Managers,Between 20 and 199,One parent family with dependent children,Metro,5,4,8.5,1,6,5,3,9,Yes,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Neither agree nor disagree,Somewhat agree,Somewhat agree,Yes,more productivity
692,1984,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Couple with no dependent children,Metro,3,6.5,7,0.5,7,3,6.5,7,Yes,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat disagree,Somewhat disagree,Somewhat agree,No,same productivity
693,1970,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with no dependent children,Metro,1,1,6,0.5,16,0.5,1,6,No,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat worsened,Neither agree nor disagree,Strongly disagree,Strongly agree,Yes,more productivity
694,1958,Male,More than 5 years,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with no dependent children,Metro,3,3,8,0,9,3.5,3.5,8,Yes,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Strongly agree,Strongly agree,Somewhat agree,No,more productivity
695,1961,Male,More than 5 years,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",Between 1 and 4,Couple with no dependent children,Metro,1,2,12,0,9,1,4,10,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,more productivity
696,1988,Male,Between 1 and 5 years,Mining,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Couple with no dependent children,Metro,2,3,8,0.5,9,3,3.5,8,Yes,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,same productivity
697,1957,Male,More than 5 years,Other Services,Professionals - ICT Professionals,Between 5 and 19,Single person,Metro,2,4,7,1,10,4,2,7,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat disagree,Somewhat disagree,Strongly agree,Yes,less productivity
698,1999,Male,Between 6 and 12 months,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with no dependent children,Metro,2,4,14,6,5,8,3,2,Yes,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,No,less productivity
699,1997,Female,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Education Professionals,More than 200,Couple with no dependent children,Metro,2.5,4,8,0.5,8.5,2.5,4.5,8,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat worsened,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Somewhat disagree,Somewhat disagree,Strongly agree,No,less productivity
700,2000,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - Other Clerical and Administrative Workers,More than 200,Couple with dependent children,Metro,1,4,7.5,0.5,7.5,2,6,8,No,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat worsened,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,less productivity
701,1964,Female,More than 5 years,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,Between 20 and 199,Other one family household,Regional,2,3,7.5,0.5,10,2,3,8.5,No,Not a barrier for me,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Somewhat improved,Not a barrier for me,Significantly improved,Stayed about the same,Significantly improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,same productivity
702,1962,Male,More than 5 years,Information Media and Telecommunications,Professionals - Arts and Media Professionals,I am a sole trader/owner-operator,Couple with dependent children,Metro,2,9,7,1,4,4,8,7,No,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,No,same productivity
703,1977,Male,Between 1 and 5 years,Education and Training,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,3,3,9,0.5,8,3,3,9.5,No,Somewhat worsened,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Significantly worsened,Significantly worsened,Not a barrier for me,Significantly worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Yes,more productivity
704,1971,Female,More than 5 years,Health Care and Social Assistance,Professionals - ICT Professionals,Between 20 and 199,One parent family with dependent children,Metro,7,2,6,0,8,6,4,6,No,Somewhat improved,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,same productivity
705,1987,Male,More than 5 years,"Rental, Hiring and Real Estate",Sales workers - Sales Representatives and Agents,Between 1 and 4,Couple with dependent children,Metro,4,4,6,2,7,2,5,8,Yes,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
706,1979,Female,More than 5 years,Education and Training,"Professionals - Legal, Social and Welfare Professionals",More than 200,Single person,Metro,2,5,7.5,1,6,2,6,9,No,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Stayed about the same,Somewhat worsened,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Strongly disagree,Strongly disagree,Somewhat agree,Yes,less productivity
707,1978,Female,Between 6 and 12 months,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Single person,Metro,2,3,8,1,8,2,5,8,Yes,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Stayed about the same,Significantly improved,Not a barrier for me,Not a barrier for me,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,less productivity
708,1987,Female,More than 5 years,Arts and Recreation,Clerical and administrative workers - Other Clerical and Administrative Workers,Between 5 and 19,Other one family household,Metro,2,4,6,0,8,4,4,8,No,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,more productivity
709,1959,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Couple with dependent children,Metro,1.5,6,8,0.5,7,1.5,8,7,No,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Somewhat improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,more productivity
710,1969,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Multiple family household,Metro,0,4,8,0.5,10,2,3.5,8,No,Not a barrier for me,Somewhat worsened,Significantly worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Significantly worsened,Significantly improved,Stayed about the same,Significantly worsened,Significantly worsened,Somewhat worsened,Stayed about the same,Not a barrier for me,Significantly worsened,Not a barrier for me,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,less productivity
711,1979,Female,More than 5 years,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,Couple with dependent children,Metro,5,4,8,1,6,5,6,6,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,more productivity
712,1957,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with no dependent children,Metro,1,1,8,0,12,1,3,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,more productivity
713,1964,Male,Between 1 and 5 years,Public Administration and Safety,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Couple with dependent children,Metro,7,3,7,0,7,6,4,7,No,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
714,1959,Male,More than 5 years,"Transport, Postal and Warehousing",Clerical and administrative workers - General Clerical Workers,Between 20 and 199,Single person,Metro,2,4,7,,9,2,6,7,Yes,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat agree,Strongly agree,Neither agree nor disagree,No,more productivity
715,1958,Male,Between 1 and 5 years,Other Services,Technicians and trades workers - Automotive and Engineering Trades Workers,Between 20 and 199,Couple with no dependent children,Metro,3,3,7,0.5,8,3,5.5,7,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Neither agree nor disagree,No,same productivity
716,1962,Female,More than 5 years,Education and Training,Professionals - Education Professionals,Between 20 and 199,Single person,Metro,1,4,6,1,10,1,6,6,No,Significantly worsened,Somewhat worsened,Stayed about the same,Significantly improved,Stayed about the same,Somewhat improved,Significantly worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Not a barrier for me,Significantly worsened,Stayed about the same,Somewhat worsened,Strongly disagree,Neither agree nor disagree,Strongly agree,No,less productivity
